Date,Mkt-RF,SMB,HML,RF,UMD,"Recession indicator (1=recession, 0=non-recesstion)"
192607,2.96,-2.3,-2.87,0.22,-999,0
192608,2.64,-1.4,4.19,0.25,-999,0
192609,0.36,-1.32,0.01,0.23,-999,0
192610,-3.24,0.04,0.51,0.32,-999,0
192611,2.53,-0.2,-0.35,0.31,-999,1
192612,2.62,-0.04,-0.02,0.28,-999,1
192701,-0.06,-0.56,4.83,0.25,0.44,1
192702,4.18,-0.1,3.17,0.26,-2.01,1
192703,0.13,-1.6,-2.67,0.3,3.59,1
192704,0.46,0.43,0.6,0.25,4.19,1
192705,5.44,1.41,4.93,0.3,3.01,1
192706,-2.34,0.47,-1.53,0.26,0.51,1
192707,7.26,-3.23,-1.16,0.3,4.32,1
192708,1.97,-0.72,-3.69,0.28,1.12,1
192709,4.76,-3.57,-0.71,0.21,1.93,1
192710,-4.31,2.13,-4.33,0.25,-1.11,1
192711,6.58,2.76,-0.31,0.21,-0.68,0
192712,2.09,0.93,-1.06,0.22,3.19,0
192801,-0.68,4.25,-0.72,0.25,-0.6,0
192802,-1.7,-2.03,-0.69,0.33,-1.02,0
192803,8.81,-0.26,-1.2,0.29,4.87,0
192804,4.23,3.82,3.67,0.22,-5.65,0
192805,1.52,2.98,-3.46,0.32,2.85,0
192806,-4.85,-3.5,-0.06,0.31,2.05,0
192807,0.62,-1.35,-0.47,0.32,2.75,0
192808,6.68,-2.07,-2.11,0.32,3.62,0
192809,2.88,2.18,0.76,0.27,3.62,0
192810,1.33,2.27,-2.26,0.41,5.05,0
192811,11.81,-1.81,2.8,0.38,1.93,0
192812,0.36,-0.85,-0.6,0.06,1.71,0
192901,4.66,-3.55,-1.21,0.34,2.43,0
192902,-0.34,-0.39,1.68,0.36,3.05,0
192903,-0.89,-4.78,1.56,0.34,-1.05,0
192904,1.43,-0.99,0.61,0.36,1.9,0
192905,-6.39,-5.46,-1.57,0.44,-2.04,0
192906,9.7,-2.17,-2.76,0.52,8.72,0
192907,4.46,-3.87,2.67,0.33,2.83,0
192908,8.18,-9.51,0.07,0.4,4.59,1
192909,-5.47,1.17,-0.63,0.35,3.04,1
192910,-20.12,-4.08,7.85,0.46,4.09,1
192911,-12.74,-1.91,5.33,0.37,-2.39,1
192912,1.33,-4.2,-0.59,0.37,5.13,1
193001,5.61,3.58,-1.01,0.14,-5.24,1
193002,2.5,0.12,0.39,0.3,0.45,1
193003,7.1,3.44,0.15,0.35,-4.18,1
193004,-2.06,-0.17,-0.84,0.21,3.91,1
193005,-1.66,-2.04,-0.63,0.26,-0.02,1
193006,-16.27,-3.22,2,0.27,6.61,1
193007,4.12,-0.37,-1.56,0.2,-2.16,1
193008,0.3,-2.22,-0.78,0.09,3.95,1
193009,-12.75,-2.22,-5.27,0.22,11.44,1
193010,-8.78,-0.1,-1.35,0.09,7.01,1
193011,-3.04,2.21,-3.53,0.13,-1.17,1
193012,-7.83,-4.68,-5.39,0.14,13.29,1
193101,6.24,3.81,7.21,0.15,-10.94,1
193102,10.88,3.39,1.6,0.04,-14.37,1
193103,-6.43,3.07,-3.65,0.13,9.55,1
193104,-9.98,-4.61,-3.92,0.08,11.42,1
193105,-13.24,5.16,-6.57,0.09,9.03,1
193106,13.9,-5.38,11.3,0.08,-17.85,1
193107,-6.62,1.43,-2.1,0.06,8.05,1
193108,0.41,-1.97,-1.49,0.03,-3.52,1
193109,-29.13,0.56,-6.75,0.03,10.18,1
193110,8.04,-1.87,1.7,0.1,3.28,1
193111,-9.08,4.3,-5.05,0.17,7.61,1
193112,-13.53,-0.56,-8.86,0.12,14.17,1
193201,-1.58,3.94,9.04,0.23,-10.32,1
193202,5.46,-2.77,-1.45,0.23,1.62,1
193203,-11.21,2.27,-2.32,0.16,10.33,1
193204,-17.96,1.44,1.42,0.11,6.78,1
193205,-20.51,3.72,-3.28,0.06,12.2,1
193206,-0.7,0.35,5.32,0.02,2.1,1
193207,33.84,-4.44,35.46,0.03,-43.94,1
193208,37.06,14.29,33.03,0.03,-52.26,1
193209,-2.94,-2.43,-6.82,0.03,2.44,1
193210,-13.17,-2.76,-10.04,0.02,4.29,1
193211,-5.88,2.08,-13.28,0.02,-2.09,1
193212,4.4,-8.27,-8.16,0.01,5.26,1
193301,1.25,0.63,6.14,0.01,-1.53,1
193302,-15.24,-2.75,-2.73,-0.03,4.19,1
193303,3.29,3.9,7.38,0.04,2.35,1
193304,38.85,4.56,17.43,0.1,-15.95,0
193305,21.43,36.7,19.03,0.04,-3.92,0
193306,13.11,8.67,-1.88,0.02,3.54,0
193307,-9.63,-1.01,3.27,0.02,0.41,0
193308,12.05,-5.45,2.96,0.03,7.51,0
193309,-10.65,-0.32,-11.77,0.02,1.65,0
193310,-8.36,-0.08,-8.46,0.01,-2.28,0
193311,9.97,-6.48,2.33,0.02,6.35,0
193312,1.83,0.66,-1.53,0.02,3.96,0
193401,12.6,12.53,15.54,0.05,-3.1,0
193402,-2.5,5.19,2.12,0.02,-0.25,0
193403,0.09,2.51,-2.73,0.02,-0.86,0
193404,-1.79,2.8,-3.75,0.01,-5.12,0
193405,-7.25,-0.26,-5.91,0.01,-2.83,0
193406,2.64,-2.14,-2.92,0.01,-0.96,0
193407,-10.96,-6.94,-10.66,0.01,8.73,0
193408,5.58,5.42,0.5,0.01,2.41,0
193409,-0.23,-1.52,-1.24,0.01,-0.1,0
193410,-1.66,1.24,-5.11,0.01,6.91,0
193411,8.33,6.49,-2.24,0.01,4.22,0
193412,0.36,3.08,-3.17,0.01,4.63,0
193501,-3.45,1.07,-1.89,0.01,3.6,0
193502,-1.94,0.42,-7.24,0.02,13.75,0
193503,-3.68,-3.54,-5.06,0.01,2.86,0
193504,9.06,-1.56,4.27,0.01,-4.72,0
193505,3.47,-3.28,2.52,0.01,-3.67,0
193506,5.93,-5.03,2.13,0.01,2.07,0
193507,7.51,1.47,6.86,0.01,-4.22,0
193508,2.65,6.28,5.7,0.01,-7.69,0
193509,2.63,1.57,-4.05,0.01,8.93,0
193510,7.03,2.65,-2.33,0.01,2.09,0
193511,4.88,4.3,11.91,0.02,-5.91,0
193512,4.56,0.22,1.07,0.01,3.75,0
193601,6.89,5.1,10.51,0.01,-3.36,0
193602,2.49,1.14,5.04,0.01,2.57,0
193603,0.99,0.66,-1.66,0.02,1.73,0
193604,-8.14,-6.03,-2.08,0.02,-7.83,0
193605,5.19,0.81,2.63,0.02,2.37,0
193606,2.4,-3.25,-1.2,0.03,0.45,0
193607,6.67,1.14,2.56,0.01,2.9,0
193608,0.99,0.72,3.99,0.02,0.61,0
193609,0.98,3.07,0.88,0.01,1.27,0
193610,7.12,-2.39,2.52,0.02,0.99,0
193611,3.27,9.01,-0.92,0.01,2.11,0
193612,0.21,3.61,3.96,0,2.11,0
193701,3.35,4.31,2.61,0.01,-1.85,0
193702,1.09,1.23,5.05,0.02,2.98,0
193703,-0.27,-1.78,6.39,0.01,2.81,0
193704,-7.36,-3.77,-3.61,0.03,-3.71,0
193705,-0.83,-0.66,-3.49,0.06,0.51,0
193706,-4.21,-3.65,-3.21,0.03,0.68,1
193707,8.91,0.85,0.82,0.03,-0.4,1
193708,-4.86,0.42,-2.25,0.02,-1.79,1
193709,-13.61,-6.89,-4.57,0.04,-7.14,1
193710,-9.61,0.45,-1.62,0.02,-1.56,1
193711,-8.31,-3.65,0.2,0.02,-0.97,1
193712,-4.24,-7.76,-0.39,0,4.7,1
193801,0.49,4.97,-1.6,0,-1.44,1
193802,5.84,0.35,-2.02,0,-3.08,1
193803,-23.82,-4.24,-3.52,-0.01,15.75,1
193804,14.51,6.37,0.18,0.01,-8.88,1
193805,-3.83,-2.47,-0.28,0,7.13,1
193806,23.87,4.05,0.3,0,-24.86,1
193807,7.34,6.66,2.18,-0.01,-6.44,0
193808,-2.67,-2.44,-4.72,0,3.95,0
193809,0.81,-2.72,-1.62,0.02,2.53,0
193810,7.8,5.83,5.01,0.01,-7.7,0
193811,-1.72,-2.56,-1.23,-0.06,3.13,0
193812,4.19,-1.8,0.5,0,2.05,0
193901,-5.96,-1.56,-3.92,-0.01,-3.05,0
193902,3.51,0.63,2.95,0.01,3.25,0
193903,-11.99,-4.76,-8.29,-0.01,-1.48,0
193904,-0.18,1.66,-0.3,0,2.7,0
193905,6.8,2.81,0.47,0.01,3.56,0
193906,-5.31,-1.02,-5.41,0.01,1.96,0
193907,10.24,4.32,-0.03,0,-0.57,0
193908,-6.68,-4.61,-2.42,-0.01,5.9,0
193909,16.88,20.23,22.22,0.01,-30.35,0
193910,-0.53,-0.01,-4.89,0,6.48,0
193911,-3.62,-5.07,-6.46,0,-0.22,0
193912,3.03,0.79,-4.06,0,5.4,0
194001,-2.41,0.24,-0.77,0,1.74,0
194002,1.44,2.51,-0.32,0,1.81,0
194003,2.05,1.25,-1.27,0,-0.36,0
194004,0.22,3.92,-0.13,0,3.33,0
194005,-21.95,-6.66,-3.69,-0.02,2.86,0
194006,6.67,-2.13,4.63,0,-2.14,0
194007,3.16,1.01,-0.74,0.01,0.85,0
194008,2.19,-0.11,0.56,-0.01,-1.61,0
194009,2.39,3.22,-1.13,0,-0.26,0
194010,3.02,0.28,4.64,0,-6.53,0
194011,-1.61,1.94,0.12,0,1.33,0
194012,0.69,-2.15,-0.89,0,3.46,0
194101,-4.17,1,3.83,-0.01,-4.72,0
194102,-1.43,-1.57,0.89,-0.01,0.91,0
194103,0.84,0.1,3.04,0.01,2.43,0
194104,-5.46,-1.69,3.41,-0.01,3.03,0
194105,1.39,-0.66,0.6,0,2.46,0
194106,5.83,1.32,0.59,0,-0.64,0
194107,5.87,5.7,7.25,0.03,-1.75,0
194108,-0.17,-0.41,-1.1,0.01,0.17,0
194109,-0.87,-0.99,-0.28,0.01,-1.57,0
194110,-5.25,-2.02,1.63,0,4.74,0
194111,-1.92,-1.21,-0.64,0,4.04,0
194112,-4.87,-2.98,-5.94,0.01,0.28,0
194201,0.79,7.52,10.1,0.02,-3.58,0
194202,-2.46,1.72,-1.13,0.01,-0.71,0
194203,-6.58,1.78,-0.62,0.01,-0.21,0
194204,-4.37,-0.6,2.09,0.01,-0.79,0
194205,5.94,-3.05,-2.65,0.03,-4.71,0
194206,2.69,-1.22,0.54,0.02,-1.32,0
194207,3.51,-0.16,2.4,0.03,0.77,0
194208,1.8,-0.09,1.33,0.03,-0.13,0
194209,2.61,0.66,2.39,0.03,-0.64,0
194210,6.82,1.82,6.47,0.03,-4.01,0
194211,0.15,-1.54,-4.24,0.03,-0.97,0
194212,5.12,-2.49,0.56,0.03,3.06,0
194301,7.13,8.78,8.23,0.03,-0.36,0
194302,6.15,4.84,6.51,0.03,-1.46,0
194303,6.01,5.03,5.48,0.03,4.74,0
194304,0.81,2.06,5.86,0.03,6.18,0
194305,5.74,4.41,3.28,0.03,5.61,0
194306,1.82,-1.06,-0.74,0.03,-1.3,0
194307,-4.77,-2.41,-2.27,0.03,-4.59,0
194308,1.3,-0.62,-0.47,0.03,0.71,0
194309,2.4,1.28,1.43,0.03,1.78,0
194310,-1.15,0.58,1.65,0.03,-0.53,0
194311,-5.91,-1.64,-4.04,0.03,-4.72,0
194312,6.36,3.34,3.22,0.03,5.99,0
194401,1.74,2.56,2.17,0.03,0.97,0
194402,0.37,-0.1,0.83,0.03,0.34,0
194403,2.46,1.71,3.43,0.02,2.61,0
194404,-1.69,-1.35,-1.13,0.03,0.52,0
194405,5.07,1.67,1.02,0.03,2.07,0
194406,5.49,4.04,1.82,0.03,-5.22,0
194407,-1.49,0.55,-0.43,0.03,0.19,0
194408,1.57,2.41,-1.63,0.03,4.68,0
194409,0.01,0.47,-1.21,0.02,-1.08,0
194410,0.16,-0.14,-0.34,0.03,-1.24,0
194411,1.71,0.37,2.31,0.03,1.28,0
194412,4.03,2.24,5.91,0.02,3.36,0
194501,2.01,2.44,0.71,0.03,0.04,0
194502,6.23,1.56,4.4,0.02,3.03,0
194503,-3.89,-1.61,-1.78,0.02,-3.28,1
194504,7.8,0.32,3.21,0.03,4.79,1
194505,1.73,1.51,0.35,0.03,0.11,1
194506,0.39,3.1,4.32,0.02,4.11,1
194507,-2.17,-1.46,-2.71,0.03,-2.62,1
194508,6.2,1.61,-4.4,0.03,-1.4,1
194509,4.77,1.71,0.48,0.03,1.4,1
194510,3.89,2.46,2.25,0.03,0.25,1
194511,5.39,4.16,4.34,0.02,4.26,0
194512,1.2,2.12,-2.32,0.03,1.25,0
194601,6.24,4.02,2.21,0.03,3.76,0
194602,-5.83,-0.73,-1.27,0.03,-1.45,0
194603,5.87,0.31,-0.36,0.03,2.69,0
194604,4.23,2.37,0.45,0.03,3.03,0
194605,3.93,1.46,1.09,0.03,-0.61,0
194606,-3.89,-1.53,-0.59,0.03,-2.52,0
194607,-2.69,-2.06,0.04,0.03,-0.1,0
194608,-6.44,-1.78,0.6,0.03,-0.03,0
194609,-10.17,-4.41,-1.96,0.03,0.74,0
194610,-1.44,0.09,3.44,0.03,0.97,0
194611,-0.01,-0.4,1.52,0.03,0.2,0
194612,4.96,0.06,-1.38,0.03,-0.1,0
194701,1.25,2.18,-0.73,0.03,-6.44,0
194702,-1.08,0.68,0.14,0.03,-0.49,0
194703,-1.67,-1.61,0.61,0.03,4.06,0
194704,-4.8,-3.97,0.85,0.03,5.05,0
194705,-0.97,-3.26,0.34,0.03,3.33,0
194706,5.29,-0.31,-0.6,0.03,-1.85,0
194707,4.14,1.43,2.82,0.03,-3.42,0
194708,-1.74,0.3,0.16,0.03,3.38,0
194709,-0.54,1.64,1.36,0.06,-0.02,0
194710,2.47,0.51,0.08,0.06,1.34,0
194711,-1.97,-1.74,1.06,0.06,4.23,0
194712,3,-2.48,3.69,0.08,3.6,0
194801,-3.93,2.49,1.38,0.07,-4.29,0
194802,-4.38,-1.71,0.07,0.07,1.47,0
194803,8.07,0.13,4.49,0.09,-0.19,0
194804,3.65,-1.66,4.1,0.08,4.06,0
194805,7.3,0.93,-1.23,0.08,2.38,0
194806,-0.1,-1.86,2.75,0.09,3.99,0
194807,-5.09,-0.32,0.07,0.08,-1.58,0
194808,0.25,-1.1,0.27,0.09,0.23,0
194809,-2.97,-1.23,-1.79,0.04,-1.26,0
194810,5.96,-1.5,0.56,0.04,2.79,0
194811,-9.3,-0.62,-4.14,0.04,0.6,0
194812,3.26,-2.8,-1.94,0.04,4.66,1
194901,0.23,1.81,1.17,0.1,-2.92,1
194902,-2.93,-1.89,-0.91,0.09,-0.41,1
194903,4.04,2.48,1.34,0.1,-0.87,1
194904,-1.87,-0.89,-1.18,0.09,3.06,1
194905,-2.94,-0.77,-2.42,0.1,3.04,1
194906,0.1,-0.88,-1.76,0.1,-1.28,1
194907,5.54,0.57,0.38,0.09,-1.54,1
194908,2.6,0.13,-0.57,0.09,1.7,1
194909,3.09,1.05,0.23,0.09,-1.42,1
194910,3.14,1.03,-0.49,0.09,0,1
194911,1.82,-0.93,-0.91,0.08,1.27,0
194912,5.13,2.07,1.75,0.09,-0.78,0
195001,1.7,3.36,0.14,0.09,-2.32,0
195002,1.48,0.04,-0.81,0.09,1.36,0
195003,1.26,-1.41,-2.77,0.1,1.54,0
195004,3.94,1.99,1.34,0.09,0.33,0
195005,4.31,-2.12,0.46,0.1,0.38,0
195006,-5.94,-2.38,-0.78,0.1,-1.66,0
195007,1.36,0.51,13.66,0.1,-0.47,0
195008,4.85,0.73,-1.41,0.1,3.21,0
195009,4.81,0.57,-1.11,0.1,-0.13,0
195010,-0.18,-0.58,1.44,0.12,1.42,0
195011,2.76,-0.84,3.17,0.11,3.59,0
195012,5.54,1.49,7.23,0.11,4.97,0
195101,5.7,1.73,3.72,0.13,2,0
195102,1.41,0.09,-2.83,0.1,-1.58,0
195103,-2.15,-0.64,-4.22,0.11,-2.95,0
195104,4.86,-1.49,3.28,0.13,6.02,0
195105,-2.34,-0.01,-1.33,0.12,-0.93,0
195106,-2.62,-1.95,-3.96,0.12,-2.39,0
195107,6.94,-1.92,1.91,0.13,7.24,0
195108,4.27,0.84,0.25,0.13,1,0
195109,0.7,1.88,0.64,0.12,0.56,0
195110,-2.53,-0.28,0.24,0.16,-0.31,0
195111,0.57,-0.44,0.26,0.11,0.63,0
195112,3.33,-2.06,-1.93,0.12,1.7,0
195201,1.45,-0.76,1.82,0.15,1.37,0
195202,-2.62,0.67,-0.22,0.12,-0.75,0
195203,4.44,-3.02,2.21,0.11,1.65,0
195204,-4.97,0.38,0.25,0.12,-2.04,0
195205,3.2,-1.06,0.2,0.13,0.49,0
195206,3.83,-1.6,1.18,0.15,1.5,0
195207,0.91,-0.35,-0.4,0.15,-0.52,0
195208,-0.76,1.21,-0.12,0.15,0.31,0
195209,-2.03,1.19,-1.59,0.16,1.76,0
195210,-0.66,-1.1,-0.46,0.14,2.75,0
195211,5.94,-0.69,0.88,0.1,0.44,0
195212,2.93,-1.42,0,0.16,1.51,0
195301,-0.34,3.54,1.28,0.16,0.72,0
195302,-0.27,2.16,-0.13,0.14,0.86,0
195303,-1.43,-0.14,-1.03,0.18,0.08,0
195304,-2.83,0.27,1.45,0.16,1.85,0
195305,0.52,-0.03,0.13,0.17,0.94,0
195306,-1.89,-1.85,-0.47,0.18,-0.01,0
195307,2.4,-1.01,-0.37,0.15,-0.31,0
195308,-4.52,0.44,-3.62,0.17,2.21,1
195309,0.2,-0.81,-2.55,0.16,2.88,1
195310,4.6,-1.4,-0.03,0.13,0.27,1
195311,2.83,-1.23,-0.4,0.08,1.95,1
195312,0.03,-0.72,-2.96,0.13,5.19,1
195401,5.13,0.42,3.53,0.11,-5.74,1
195402,1.67,-0.21,-0.23,0.07,1.03,1
