Size and Ret212,Small Size  & Low Ret212,Small Size  & 2 Ret212,Small Size  & 3 Ret212,Small Size  & 4 Ret212,Small Size  & High Ret212,2 Size  & Low Ret212,2 Size  & 2 Ret212,2 Size  & 3 Ret212,2 Size  & 4 Ret212,2 Size  & High Ret212,3 Size  & Low Ret212,3 Size  & 2 Ret212,3 Size  & 3 Ret212,3 Size  & 4 Ret212,3 Size  & High Ret212,4 Size  & Low Ret212,4 Size  & 2 Ret212,4 Size  & 3 Ret212,4 Size  & 4 Ret212,4 Size  & High Ret212,Big Size  & Low Ret212,Big Size  & 2 Ret212,Big Size  & 3 Ret212,Big Size  & 4 Ret212,Big Size  & High Ret212
199009,-54.29,-23.94,-8.75,6.19,75.2,-47.59,-23.27,-8.25,6.8,58.41,-45.03,-22.93,-8.73,7.26,51.94,-42.03,-23.08,-7.57,6.54,34.93,-39.69,-22.69,-6.71,7.64,33.4
199010,-60.79,-33.04,-18.05,-2.34,51.88,-54.44,-32.78,-17.74,-2.66,38.52,-52.08,-31.95,-17.98,-3.32,37.13,-49.27,-33.47,-16.83,-2.48,24.84,-48.14,-32.17,-16.31,-2.88,20.36
199011,-62.72,-35.46,-20.21,-3.97,52.94,-57.51,-35.83,-20.25,-4.35,36.59,-53.7,-33.69,-20.15,-3.88,32.36,-52.48,-34.85,-19.25,-3.59,22.43,-46.8,-33.87,-18.73,-3.68,18.24
199012,-67.47,-41.28,-24.65,-8.81,47.34,-62.91,-40.56,-24.48,-7.88,35.63,-61,-40.7,-24.23,-7.32,23.48,-60.97,-39.64,-23.98,-7.44,20.09,-57.45,-39.35,-24.15,-7.2,13.4
199101,-64.74,-36.42,-19.37,-4.34,50.4,-57.44,-35.81,-19.08,-4.68,41.4,-55.13,-35.49,-19.06,-4.88,32.2,-54.17,-34.57,-18.99,-4.43,24.09,-51.04,-33.25,-18.51,-3.52,18.46
199102,-61.37,-28.18,-9.99,5.09,66.44,-51.86,-26.82,-9.07,5.74,63.35,-51.88,-26.68,-9.06,6.37,47.31,-49.91,-25.32,-9.01,5.31,44.32,-41.9,-25.1,-8.51,6.52,30.97
199103,-56.96,-22.81,-5.52,7.96,69.11,-47.58,-22.42,-5.44,8.21,69.76,-46.35,-20.98,-4.91,8.28,55.14,-44.33,-19.32,-4.22,8.88,49,-37.55,-19.55,-4.15,7.99,39
199104,-50.86,-16.43,-0.03,12.95,84.1,-42.08,-15.8,-0.07,13.12,76.53,-39.16,-14.61,0.35,13.08,60.84,-40.18,-14.35,-0.2,14.1,54.81,-29.19,-14.98,0.18,14.02,44.42
199105,-43.85,-7.85,7.81,23.36,103.3,-32.49,-7.04,8.18,23.05,97.44,-31.14,-7.55,8.01,23.35,83.57,-30.95,-7.51,8.38,22.91,66.27,-25.76,-7.41,9,22.7,58.48
199106,-47.18,-14.18,1.21,15.62,87.78,-38,-14.1,1.43,15.73,77.87,-34.72,-12.82,1.59,16.02,59.68,-33.35,-13.93,1.93,16.2,46.46,-28.81,-13.11,1.85,15.64,47.92
199107,-43.83,-9.35,5.46,20.9,95.38,-34.62,-8.05,6.28,20.66,78.86,-30.03,-8.45,6.61,20.86,69.48,-27.35,-8.21,6.13,21.49,58.92,-25.03,-7.91,7.5,20.93,51.9
199108,-45.83,-11.91,3.2,17.68,92.09,-35.23,-10.82,4.57,17.43,67.31,-32.45,-10.79,5.09,18.44,64.43,-28.78,-10.73,4.56,17.75,58.31,-27.55,-11.06,4.88,18.66,47.38
199109,-36.77,2.37,20.4,38.99,138.97,-25.78,3.55,20.54,38,112.32,-21.5,2.7,20.64,39.53,103.97,-22.07,5.33,21.84,38.77,94.77,-17.32,4.14,20.22,38.96,78.55
199110,-30.35,11.73,30.96,53.43,179.04,-16.12,12.23,30.75,54.63,151.1,-15.22,12.65,30.81,55.69,148.88,-15.13,14.42,31.17,54.4,120.89,-10.45,12.79,30.61,54.18,109.31
199111,-25.79,16.62,34.44,61.54,201.34,-11.45,16.96,35.34,62.03,184.4,-9.66,16.31,35.04,61.67,161.15,-9.73,18.88,34.1,61.81,143.92,-4.55,17.37,33.62,59.94,129.43
199112,-28.39,10.04,26.36,50.35,184.68,-14.46,10.55,26.79,49.13,180,-13.39,10.5,26.97,50.73,150.49,-13.1,11.1,27.51,51.01,125.71,-5.84,11.04,25.27,50.34,110.06
199201,-33.78,3.82,19.9,39.77,173.31,-19.71,4.65,20.44,40.65,161.14,-18.84,4.64,20.36,40.67,115.86,-16.96,5.58,21.05,39.41,114.24,-14.47,3.85,20.66,38.93,95.16
199202,-36.06,2.45,21.46,41.96,170.34,-22.9,2.7,22.55,42.53,167.87,-20.18,2.84,21.92,44.17,125.49,-17.36,4.22,21.74,42.21,114.96,-19.39,3.34,21.44,40.66,91.23
199203,-35.31,-0.18,16.14,34.91,164.5,-23.31,0.06,16.27,34.84,147.41,-23.05,-0.18,16.28,35.44,106.39,-21.14,0.11,16.52,33.58,95.16,-19.62,2.1,16.24,33.51,78.75
199204,-35.23,-1.27,15.46,33.25,156.13,-24.58,-0.49,15.44,33.1,134.23,-23.1,-1.13,15.47,32.43,95.24,-24.97,-0.27,16.06,31.99,87.75,-14.94,-1,15.42,32.5,71.87
199205,-36.51,-2.58,12.95,30.27,139.15,-27.65,-1.7,12.64,28.81,106.44,-26.05,-2.02,13.04,29.69,87.2,-23.34,-0.32,14.12,31.06,78.84,-21.37,-0.83,13.4,28.71,66.97
199206,-39.88,-5.96,8.92,24.69,113.07,-29.93,-6,8.92,23.87,86.81,-31.1,-5.1,8.23,23.58,71.82,-26.5,-4.99,10.23,24.34,63.76,-25.64,-5.22,9.59,22.65,53.7
