Date,Small Size  & Low Ret212,Small Size  & 2 Ret212,Small Size  & 3 Ret212,Small Size  & 4 Ret212,Small Size  & High Ret212,2 Size  & Low Ret212,2 Size  & 2 Ret212,2 Size  & 3 Ret212,2 Size  & 4 Ret212,2 Size  & High Ret212,3 Size  & Low Ret212,3 Size  & 2 Ret212,3 Size  & 3 Ret212,3 Size  & 4 Ret212,3 Size  & High Ret212,4 Size  & Low Ret212,4 Size  & 2 Ret212,4 Size  & 3 Ret212,4 Size  & 4 Ret212,4 Size  & High Ret212,Big Size  & Low Ret212,Big Size  & 2 Ret212,Big Size  & 3 Ret212,Big Size  & 4 Ret212,Big Size  & High Ret212
195312,4.02,4.66,5.52,5.19,4.8,11.96,11.14,12.43,12.7,13.12,25.66,26.19,26.08,27.06,24.99,61.71,59.25,62.96,62.83,63.01,169.15,345.88,538.89,422.14,427.91
195401,3.85,4.97,5.27,4.44,4.75,12.17,10.82,12.07,12.18,12.95,24.08,26.8,26.36,27.54,24.72,61.73,59.94,62.47,62.73,65.58,211.57,479.05,424.26,474.96,396.87
195402,4.25,4.85,5.69,4.99,5.42,12.42,12.42,12.52,12.95,14.31,25.57,29.18,28.31,28.21,27.7,64.59,64.23,66.21,66.58,68.58,196.02,284.13,583.92,489.11,409.46
195403,4.05,5.03,5.61,5.3,5.27,11.91,12.57,13.43,12.72,14.58,25.61,27.84,29.63,29.56,27.81,63.2,67.45,63.46,70.99,67.9,203.89,272.87,472.54,566.44,424.23
195404,4.03,5.22,6.02,5.2,5.45,12.6,12.81,13.48,13.2,13.87,26.6,27.83,29.99,29.58,28.67,62.95,67.88,67.07,74.3,70.81,206.75,317.58,427.45,670.57,386.14
195405,4.11,5.36,5.8,5.31,5.62,12.84,13.28,12.74,13.64,13.65,27.65,30.05,29.6,28.81,28.66,64.84,68.76,70.77,74,71.2,265.85,285.22,319.4,568.33,593.41
195406,4.3,5.62,5.32,5.96,5.41,13.47,13.16,13.51,13.66,14.51,29.64,30.91,30.86,28.47,32.24,67.61,71.32,73.76,73.98,75.77,265.35,255.91,331.96,552.12,597.42
195407,4.4,5.7,6.11,5.31,5.04,13,13.73,14.49,12.92,13.66,29.59,31.26,30.78,30.79,30.73,69.52,73.28,73.26,74.5,77.18,281.96,241.28,481.97,520.24,575.31
195408,5.11,5.94,5.74,5.04,6.13,14.04,15.03,13.99,14.49,15.14,32.27,30.92,32.92,34.3,33.18,77.45,73.91,79.17,76.78,83.35,250.31,344.46,659.53,495.14,566.26
195409,4.82,6.12,5.17,6.25,5.89,14.41,14.62,14.06,14.74,14.68,31.48,31.43,30.9,32.21,32.98,90.71,69.08,73.29,79.24,79.33,276.44,585.52,500.12,609.86,381.28
195410,5.44,5.15,6.32,6.16,5.54,15.08,14.86,15.25,14.56,15.49,32.2,31.25,33.75,32.98,34.18,91.81,69.43,77.65,83.96,84.7,289.42,498.45,384.51,866.29,446.28
195411,5.57,4.98,5.85,5.96,5.76,13.97,15.27,14.66,15.97,14.93,31.81,30.83,33.94,34.15,33.94,82.07,75.98,76.63,80.13,84.14,296.08,469.36,355.82,689.82,639.67
195412,5.68,5.92,6.15,6.4,6.19,15.44,16.3,16.95,15.88,16.86,34.75,34.86,37.59,35.24,36.58,82.13,86.08,80.34,89.81,90.39,320.2,507.93,396.28,982.93,547.42
195501,5.92,6.75,7.59,6.87,6.43,16.95,17.85,19.54,17.14,18.06,38.73,39.6,40.89,37.58,40.97,97.87,84.16,91.57,99.76,96.39,691.65,377.87,477.38,1173.63,372.99
195502,5.8,7.51,7.2,6.87,6.66,18.01,18.27,17.23,18.11,18.28,40.11,41.07,37.02,39.71,40.58,93.6,85.17,100.94,91.2,94.65,520.05,491.67,479.13,1124.41,381.19
195503,6.37,7.24,7.6,7.4,6.78,17.35,18.69,19.05,19.34,19.36,40.45,41.91,40.98,39.61,44.99,95,95.62,96.75,98.32,97.64,592.24,426.55,585.48,1175.45,405.72
195504,6.5,6.49,7.82,7.16,6.83,16.7,19.09,19.43,19.61,19.01,40.99,41.39,40.51,40.38,42.94,97.81,94.88,93.47,95.14,99.74,670.95,391.97,656.96,1115.49,372.68
195505,6.6,8.23,6.91,7.38,6.42,17.43,19.76,18.82,20.72,18.83,43.19,43.86,42.07,40.3,42.18,99.94,96.48,101.03,92.5,99.75,670.74,542.33,1002.04,430.23,406.24
195506,6.99,7.03,7.44,6.66,7.41,18.04,19.65,19.14,20.32,18.96,43.21,43.61,40.97,41.37,42.91,96.72,104.07,95.7,100.36,96.29,799,403.06,792,893.69,435.99
195507,6.93,7.45,7.3,7.98,6.77,20.89,18.37,20.09,20.28,19.66,46.75,43.21,41.47,42.51,43.51,102.93,101.06,103.19,101.25,99.22,828.18,405.59,794.07,983.4,465.12
195508,7.28,7.22,6.92,8.44,7.24,19.79,20.4,18.71,20.11,20.34,44.03,44.07,42.12,40.87,46.15,103.77,98.47,104.66,98.83,99.53,679.77,373.87,594.51,1170.27,824.68
195509,7.41,6.94,7.76,7.35,7.38,20.15,19.07,20.15,19.02,20.21,44.94,42.72,41.76,43.03,44.56,100.78,106.55,100.78,99.36,103.3,362.99,569.92,607.65,774.19,1156.94
195510,7.2,6.92,7.13,7.85,7.81,20.08,20.39,19.52,18.89,19.17,43.56,43.16,42.77,42.36,42.88,95.84,106.54,99.11,98.44,97.4,820.53,401.79,623,1000.98,835.42
195511,6.48,7.8,6.42,8.29,6.87,18.69,19.88,20.26,18.12,18.78,42.13,42.77,41.09,42.71,41.25,103.19,93.6,97.5,100.37,87.42,299.9,616.18,591.17,662.32,1167.54
195512,7.31,6.83,7.73,7.93,7.36,21.36,18.84,21.38,19.43,19.56,44.96,45.43,44.53,43.26,42.48,108.52,101.68,102.62,101.3,91.67,375.1,703.81,410.4,1072.48,1112.03
195601,7.11,8.17,8.32,8.67,7.55,22.09,19.84,20.79,21.58,19.61,48.48,46.72,46.97,47.47,44.45,112.32,110.34,112,106.5,97.56,333.88,656.49,580.61,581.73,1404.83
